Fecha,C1,C2,C3,C4,C5,SB,Suma_cifras,Suma_total
2022-10-26,18,32,33,40,41,10,164,174
2022-10-22,2,5,14,30,36,12,87,99
2022-10-19,1,7,20,36,39,14,103,117
2022-10-15,3,14,35,36,37,8,125,133
2022-10-12,12,24,33,34,36,3,139,142
2022-10-8,10,17,31,36,41,14,135,149
2022-10-5,5,16,23,34,43,16,121,137
2022-10-1,3,5,15,22,42,2,87,89
2022-9-28,6,17,36,37,38,11,134,145
2022-9-24,11,16,32,34,37,5,130,135
2022-9-21,3,6,7,26,42,11,84,95
2022-9-17,9,10,18,29,32,4,98,102
2022-9-14,6,8,20,34,41,8,109,117
2022-9-10,12,18,32,34,43,4,139,143
2022-9-7,1,12,15,22,33,16,83,99
2022-9-3,4,9,26,33,41,3,113,116
2022-8-31,4,12,17,19,42,14,94,108
2022-8-27,1,26,27,35,43,11,132,143
2022-8-24,2,6,24,32,40,5,104,109
2022-8-20,1,6,34,37,39,4,117,121
2022-8-17,3,7,20,31,35,7,96,103
2022-8-13,1,8,10,22,25,4,66,70
2022-8-10,13,14,15,33,40,16,115,131
2022-8-6,4,8,17,39,40,14,108,122
2022-8-3,6,28,33,34,38,12,139,151
2022-7-30,16,17,22,26,36,15,117,132
2022-7-27,7,9,10,11,29,13,66,79
2022-7-23,20,30,31,33,39,10,153,163
2022-7-20,7,8,13,18,37,12,83,95
2022-7-16,3,4,6,18,36,15,67,82
2022-7-13,6,12,13,15,38,16,84,100
2022-7-9,4,15,27,30,35,7,111,118
2022-7-6,22,31,35,40,42,2,170,172
2022-7-2,2,9,16,31,34,5,92,97
2022-6-29,8,11,12,29,41,14,101,115
2022-6-25,2,10,15,22,25,3,74,77
2022-6-22,5,14,20,30,31,8,100,108
2022-6-18,3,7,15,19,43,1,87,88
2022-6-15,14,16,27,34,41,14,132,146
2022-6-11,1,6,16,31,37,13,91,104
2022-6-8,12,22,28,42,43,9,147,156
2022-6-4,3,7,10,26,31,8,77,85
2022-6-1,10,17,18,25,28,16,98,114
2022-5-28,6,29,33,40,42,12,150,162
2022-5-25,1,8,21,28,36,5,94,99
2022-5-21,23,26,27,31,42,4,149,153
2022-5-18,22,23,28,32,38,5,143,148
2022-5-14,4,12,14,28,38,10,96,106
2022-5-11,5,11,22,23,24,15,85,100
2022-5-7,2,6,11,19,22,16,60,76
2022-5-4,3,10,11,19,41,15,84,99
2022-4-30,12,19,24,34,35,10,124,134
2022-4-27,6,7,15,17,31,12,76,88
2022-4-23,3,23,29,30,38,3,123,126
2022-4-20,5,12,18,32,36,12,103,115
2022-4-16,13,14,27,28,39,13,121,134
2022-4-13,7,10,13,28,31,2,89,91
2022-4-9,1,15,27,30,43,3,116,119
2022-4-6,4,14,28,32,35,15,113,128
